id,popularity,artist_total_followers
31n3k4ClkVFd1igxGlfDG3,1,113
5ub3FIyxtEth9Z9CIq2j9l,29,28273
0iTfbhVrJ1eGW31JujJQfp,15,313
6NzbkRKaakvLYycrinvxm5,20,1268
5KsYHB31NRTSI1cbaOWy96,25,16080
7DVBM3YZgGHfvP4y8ifrSY,1,139
1nm9PdmvzPXJmIlMOk5XLy,46,101749
2eKvpW2lCmgqTJHRNrbbIn,43,26713
3SGY4Rv8QAa6mtLMoQJ5cg,19,302
1ImywUogV5mfqWMyXEvkgE,38,23677
4pjOvjjQ1fjHg9NkZ9pbkG,2,132
6AAXaRgqSgfmg2PRw2WjxK,1,153
3sxXW1t1ZJ11f7iqzWRxlW,9,608
4BzCdhJTyTS3gumq9xmymb,57,158401
0Guuvi7P0R6ZuX2DeL1m9M,31,15902
2I2GpkVOATiTrXSXCafxvO,35,4468
0vrwPApXQrgJSpePdo8WHs,23,1517
4tQkwPa9fdeatUw9tBdlts,6,333
5E1vOnaDVuBXGt21yY7f01,28,10760
6d9tfm3FJSk5IM1s2uMIye,0,119
2awB7Ol181cocZcLLNBBAh,43,107083
2QoU3awHVdcHS8LrZEKvSM,60,661873
59sBwR0jPSTrbMtuTkRPN5,62,140649
3V0ZQW0dNuVaFtbVYgSI24,63,312667
7eSbps3Uha3MMBNWhMYa2H,43,110452
4ptJIIR10UVlGjN0VntFaK,53,123484
4uSftVc3FPWe6RJuMZNEe9,57,525049
6ssXMmc5EOUrauZxirM910,56,468082
1muzcpVFKmKSrT7rVNAwBB,56,44530
6ssXMmc5EOUrauZxirM910,56,468082
4SK1IgkcWWc5HC1TOBq1VS,41,38632
7oKVYDiVZxglvgEW2zHcAD,42,30691
1UfzhwcOR4yfX7yHTPfC9m,56,231375
19XkfzkDFF6Atq98pM6yCN,28,206
41FEVJCBGidsJwbjq0KfgM,48,216808
6ioOEWNNGK40H8xrGj6XPW,51,318652
5vM2PNB3LjGceAKYvN3KI8,20,1651
3jzXlBF2157k4exx7idecs,52,88053
0RZs9ZOXkINVtC9rnV24MI,19,1090
6xrCU6zdcSTsG2hLrojpmI,62,1024036
5L6tkH3jDmFBX9dYdFFQXy,40,23984
435UmkDo0uchwmDeHdKWGN,41,37948
7t00AYOoiQrcgNlpTkNer6,36,15151
78lD1azjm0P1ct7Trr82dI,22,3271
2zPvDg6LI6NHPQVQIESjfW,50,31760
3Wok7FweiLrlia97LMCJh1,34,24018
6uLaqNlADRk1E28QrczF5T,11,1779
4GHF2TzZ7lTe8qNvLl8R01,22,11713
6UwhmfFkN3Rj2pXkpRTMU1,32,9103
6z8QxGgkqFIkubQA3rCjZt,12,717
44HbZgVV4ohYTXfuQIf4Kn,20,1322
0RpcAXbMHCcEEurjyHvuyg,28,3765
24me6m3bV7l2rnUwaXV0Tj,44,87506
6l7Yr0FReeEeZUfwt8XFba,7,843
0q3MCOdd2qGlN2TxJdr0SQ,33,1640
3Lx3LW1eYrkig48NsWAPdh,28,2921
3ulWAHPDwSvZ0G6eaprCuy,27,8170
13jvLDXME7yplEwCweRivE,39,21182
7bE5OUC0Qr3LgqXBjvZPLO,28,5344
0N1TIXCk9Q9JbEPXQDclEL,46,147578
2jEDmfZx1WgNJTTzXdbB7p,28,10548
4FxhFEHyjxhdm3C8vAq0wV,28,29880
0gsEMQ9iE3qoruCGKnUkqd,2,592
4Dvahl5zd1iUx5yot4GJOS,9,725
5DzmbrRwcV3oIkkQ0nd3d0,5,46
0Y4SyLXBpdQUJAml0K2Qmn,5,26
6guC9FqvlVboSKTI77NG2k,68,604960
7tjVFCxJdwT4NdrTmjyjQ6,64,165606
6iWuBN32BqCJAeXW6o3nil,59,231806
73rPcaYEhBd0UuVZBqqyQJ,61,123967
